2ba1k3/1N6c/4b4/9/p6P1/2n6/9/4B4/4A4/4KA3 b,0.69043225,4270
2ba1k3/1N6c/4b4/9/7P1/p1n6/9/4B4/4A4/4KA3 w,-0.6594345,921
2bN1k3/8c/4b4/9/7P1/p1n6/9/4B4/4A4/4KA3 b,0.7906848,1619
2bN1k3/8c/4b4/9/4n2P1/p8/9/4B4/4A4/4KA3 w,-0.78183484,290
2b2k3/8c/2N1b4/9/4n2P1/p8/9/4B4/4A4/4KA3 b,0.78183484,1556
2b2k3/8c/2N1b4/9/7P1/p8/5n3/4B4/4A4/4KA3 w,-0.74378264,6908
2b2k3/8c/2N1b4/9/7P1/p8/5n3/4BA3/9/4KA3 b,0.74876875,5376
2b2k3/8c/2N1b4/9/7P1/p8/9/3nBA3/9/4KA3 w,-0.72844,7726
2b2k3/8c/2N1b4/9/7P1/p8/9/3nBA3/9/3K1A3 b,0.7680602,1592
2b2k3/9/2N1b4/9/7P1/p7c/9/3nBA3/9/3K1A3 w,-0.6376977,7635
2b2k3/9/4b4/9/1N5P1/p7c/9/3nBA3/9/3K1A3 b,0.77730983,6013
2b2k3/9/4b4/9/1N5P1/p3n3c/9/4BA3/9/3K1A3 w,-0.6130263,3904
2b2k3/9/4b4/9/1N5P1/p3n3c/9/4BA3/4A4/3K5 b,0.6437595,454
2b2k3/9/4b4/9/1N5P1/1p2n3c/9/4BA3/4A4/3K5 w,-0.6192544,3904
2b2k3/9/4b4/7P1/1N7/1p2n3c/9/4BA3/4A4/3K5 b,0.72844,4466
2b1k4/9/4b4/7P1/1N7/1p2n3c/9/4BA3/4A4/3K5 w,-0.549021,3093
2b1k4/9/4b4/7P1/1N7/1p2n3c/9/4BA3/4A4/4K4 b,0.6067611,4466
2b1k4/9/9/7P1/1Nb6/1p2n3c/9/4BA3/4A4/4K4 w,-0.7231996,7734
2b1k4/9/2N6/7P1/2b6/1p2n3c/9/4BA3/4A4/4K4 b,0.79926795,4841
2b1k4/8c/2N6/7P1/2b6/1p2n4/9/4BA3/4A4/4K4 w,-0.56849575,7736
2b1k4/8c/9/7P1/2bN5/1p2n4/9/4BA3/4A4/4K4 b,0.7906848,1543
2b1k4/4c4/9/7P1/2bN5/1p2n4/9/4BA3/4A4/4K4 w,-0.8520026,3560
2b1k4/4c4/9/7P1/2b6/1p2nN3/9/4BA3/4A4/4K4 b,0.7906848,4478
2b1k4/4c4/4b4/7P1/9/1p2nN3/9/4BA3/4A4/4K4 w,-0.6616643,3093
2b1k4/4c4/4b4/6P2/9/1p2nN3/9/4BA3/4A4/4K4 b,0.6616643,4195
2b1k4/4c4/4b4/6P2/9/4nN3/1p7/4BA3/4A4/4K4 w,-0.59412646,2994
2b1k4/4c4/4b1P2/9/9/4nN3/1p7/4BA3/4A4/4K4 b,0.55553234,363
2b1k4/4c4/4b1P2/3n5/9/5N3/1p7/4BA3/4A4/4K4 w,-0.3991626,2175
2b1k4/4c1P2/4b4/3n5/9/5N3/1p7/4BA3/4A4/4K4 b,0.36804262,365
2b1k4/4c1P2/4bn3/9/9/5N3/1p7/4BA3/4A4/4K4 w,-0.2224183,1364
2b1k4/4cP3/4bn3/9/9/5N3/1p7/4BA3/4A4/4K4 b,0.24601847,1182
2b1k4/3c1P3/4bn3/9/9/5N3/1p7/4BA3/4A4/4K4 w,-0.20905524,4531
2b1k4/3c1P3/4bn3/9/3N5/9/1p7/4BA3/4A4/4K4 b,0.30917937,2110
2b1k4/3c1P3/5n3/9/2bN5/9/1p7/4BA3/4A4/4K4 w,-0.20048006,3542
2b1k4/3c1P3/2N2n3/9/2b6/9/1p7/4BA3/4A4/4K4 b,0.49651194,1101
2b1k4/5P3/2Nc1n3/9/2b6/9/1p7/4BA3/4A4/4K4 w,-0.49651194,6113
2b1k4/5P3/3c1n3/N8/2b6/9/1p7/4BA3/4A4/4K4 b,0.47021365,3438
4k4/5P3/b2c1n3/N8/2b6/9/1p7/4BA3/4A4/4K4 w,-0.6067611,2476
4k4/5P3/b2c1n3/9/2b6/1N7/1p7/4BA3/4A4/4K4 b,0.59412646,2110
4k4/5P3/b2c5/9/2b3n2/1N7/1p7/4BA3/4A4/4K4 w,-0.43111882,4169
4k4/5P3/b2c5/2N6/2b3n2/9/1p7/4BA3/4A4/4K4 b,0.49651194,1910
4k4/5P3/b2c5/2N1n4/2b6/9/1p7/4BA3/4A4/4K4 w,-0.39286405,2620
4k4/1N3P3/b2c5/4n4/2b6/9/1p7/4BA3/4A4/4K4 b,0.33211726,1916
4k4/1N3n3/b2c5/9/2b6/9/1p7/4BA3/4A4/4K4 w,-0.15490335,921
4k4/5n3/b2N5/9/2b6/9/1p7/4BA3/4A4/4K4 b,0.517887,1281
4k4/9/b2n5/9/2b6/9/1p7/4BA3/4A4/4K4 w,-0.9999201,6906
4k4/9/b2n5/9/2b6/9/1p7/4BA3/4A4/3K5 b,0.99999964,1922
4k4/9/b8/5n3/2b6/9/1p7/4BA3/4A4/3K5 w,-0.99999934,6906
4k4/9/b8/5n3/2b6/9/1p7/4BA3/4A4/4K4 b,0.9999994,2929
4k4/9/b8/5n3/2b6/9/2p6/4BA3/4A4/4K4 w,-0.99999917,7736
4k4/9/b8/5n3/2b6/9/2p6/5A3/4A4/4K1B2 b,0.9999999,2929
4k4/9/b8/5n3/2b6/9/9/2p2A3/4A4/4K1B2 w,-1,7736
4k4/9/b8/5n3/2b6/9/9/2p1BA3/4A4/4K4 b,0.99999994,2929
4k4/9/b8/5n3/2b6/9/9/4BA3/2p1A4/4K4 w,-0.9999999,6924
4k4/9/b8/5n3/2b6/9/9/5A3/2p1A4/4K1B2 b,1,2929
4k4/9/b8/5n3/2b6/9/9/5A3/3pA4/4K1B2 w,-1,7736
4k4/9/b8/5n3/2b6/9/9/4BA3/3pA4/4K4 b,1,2929
4k4/9/b8/9/2b4n1/9/9/4BA3/3pA4/4K4 w,-1,7736
4k4/9/b8/9/2b4n1/6B2/9/5A3/3pA4/4K4 b,1,3930
4k4/9/b8/9/2b6/6B2/6n2/5A3/3pA4/4K4 w,-1,7736
4k4/9/b8/9/2b6/6B2/6n2/5A3/3pA4/5K3 b,1,365
4k4/9/b8/9/2b6/6B2/9/5A3/3pA2n1/5K3 w,-1,7817
4k4/9/b8/9/2b6/6B2/9/5A3/3pAK1n1/9 b,1,365
4k4/9/b8/9/2b6/6B2/9/5A3/2p1AK1n1/9 w,-1,6924
4k4/9/b8/9/2b6/6B2/9/3A1A3/2p2K1n1/9 b,1,365
5k3/9/b8/9/2b6/6B2/9/3A1A3/2p2K1n1/9 w,-1,6016
5k3/9/b8/9/2b6/6B2/9/5A3/2p1AK1n1/9 b,1,6735
5k3/9/b8/9/2b6/6B2/6n2/5A3/2p1AK3/9 w,-1,7016
5k3/9/b8/9/2b6/6B2/6n2/5A3/2p1A4/5K3 b,1,6735
5k3/9/b8/9/2b6/6B2/6n2/5A3/3pA4/5K3 w,-1,6924
5k3/9/b8/9/2b6/6B2/6n2/5A3/3pA4/4K4 b,1,5479
